mode,engine,run,x,read_mvisits,write_mops,viol
mixed,mvrlu_list,2,128,29191.6,0.33,0
mixed,mvrlu_list,2,160,37364.4,0.22,0
mixed,mvrlu_list,2,191,42711.0,0.20,0
readceil,existence_list,2,1,690.6,0,0
readceil,existence_list,2,2,1388.0,0,0
readceil,existence_list,2,4,2775.1,0,0
readceil,existence_list,2,8,5557.8,0,0
readceil,existence_list,2,16,11117.4,0,0
readceil,existence_list,2,32,22228.6,0,0
readceil,existence_list,2,64,44407.2,0,0
readceil,existence_list,2,96,60410.6,0,0
readceil,existence_list,2,128,82481.6,0,0
readceil,existence_list,2,160,104510.5,0,0
readceil,existence_list,2,191,122597.3,0,0
readceil,existence_list,2,192,123105.1,0,0
mixed,existence_list,2,1,666.9,9.07,0
mixed,existence_list,2,2,1337.7,8.48,0
mixed,existence_list,2,4,2680.8,8.21,0
mixed,existence_list,2,8,3936.6,3.80,0
mixed,existence_list,2,16,7923.6,3.61,0
mixed,existence_list,2,32,15994.7,3.35,0
mixed,existence_list,2,64,33365.7,2.79,0
mixed,existence_list,2,96,41724.4,2.41,0
mixed,existence_list,2,128,55759.5,2.17,0
mixed,existence_list,2,160,74321.8,1.72,0
mixed,existence_list,2,191,89798.9,1.51,0
writetax,rculist_nolock,1,1,749.4,16.15,0
writetax,rculist_nolock,1,2,1485.5,13.64,0
writetax,rculist_nolock,1,4,2974.5,12.09,0
writetax,rculist_nolock,1,8,4034.7,4.15,0
writetax,rculist_nolock,1,16,7628.1,4.15,0
writetax,rculist_nolock,1,32,14245.9,4.04,0
writetax,rculist_nolock,1,64,24722.2,3.92,0
writetax,rculist_nolock,1,96,26460.4,3.27,0
writetax,rculist_nolock,1,128,33401.4,3.17,0
writetax,rculist_nolock,1,160,41123.6,3.13,0
writetax,rculist_nolock,1,191,48979.2,2.93,0
writetax,rculist_mutex,1,1,748.3,14.03,0
writetax,rculist_mutex,1,2,1486.6,11.96,0
writetax,rculist_mutex,1,4,2954.4,11.31,0
writetax,rculist_mutex,1,8,4091.4,4.00,0
writetax,rculist_mutex,1,16,7488.6,3.97,0
writetax,rculist_mutex,1,32,12316.0,3.94,0
writetax,rculist_mutex,1,64,21765.5,3.82,0
writetax,rculist_mutex,1,96,25973.5,3.19,0
writetax,rculist_mutex,1,128,33362.3,3.14,0
writetax,rculist_mutex,1,160,42453.5,3.10,0
writetax,rculist_mutex,1,191,49641.9,2.93,0
writetax,txn_nolock,1,1,767.8,7.31,0
writetax,txn_nolock,1,2,1541.2,7.10,0
writetax,txn_nolock,1,4,3086.6,7.05,0
writetax,txn_nolock,1,8,4621.7,3.09,0
writetax,txn_nolock,1,16,9463.9,2.84,0
writetax,txn_nolock,1,32,18903.5,2.73,0
writetax,txn_nolock,1,64,38181.7,2.46,0
writetax,txn_nolock,1,96,57206.6,1.76,0
writetax,txn_nolock,1,128,75340.7,1.68,0
writetax,txn_nolock,1,160,93189.8,1.70,0
writetax,txn_nolock,1,191,107150.0,1.41,0
writetax,txn_mutex,1,1,768.7,7.00,0
writetax,txn_mutex,1,2,1536.4,6.91,0
writetax,txn_mutex,1,4,3073.9,6.94,0
writetax,txn_mutex,1,8,4727.6,3.02,0
writetax,txn_mutex,1,16,9540.0,2.90,0
writetax,txn_mutex,1,32,19245.1,2.69,0
writetax,txn_mutex,1,64,38923.6,2.41,0
writetax,txn_mutex,1,96,58452.0,1.71,0
writetax,txn_mutex,1,128,76601.1,1.63,0
writetax,txn_mutex,1,160,95723.7,1.53,0
writetax,txn_mutex,1,191,111948.6,1.27,0
writetax,rculist_nolock,2,1,730.9,16.45,0
writetax,rculist_nolock,2,2,1486.1,13.57,0
writetax,rculist_nolock,2,4,2955.6,12.57,0
writetax,rculist_nolock,2,8,3848.4,3.99,0
writetax,rculist_nolock,2,16,7166.4,3.99,0
writetax,rculist_nolock,2,32,12998.5,3.89,0
writetax,rculist_nolock,2,64,22088.7,3.78,0
writetax,rculist_nolock,2,96,25438.1,3.24,0
writetax,rculist_nolock,2,128,34300.6,3.16,0
writetax,rculist_nolock,2,160,43243.6,3.13,0
writetax,rculist_nolock,2,191,50919.7,2.92,0
writetax,rculist_mutex,2,1,732.2,14.48,0
writetax,rculist_mutex,2,2,1501.1,11.70,0
writetax,rculist_mutex,2,4,2973.3,11.31,0
writetax,rculist_mutex,2,8,4140.6,4.03,0
writetax,rculist_mutex,2,16,7577.1,4.04,0
writetax,rculist_mutex,2,32,13822.9,3.92,0
writetax,rculist_mutex,2,64,23320.0,3.84,0
writetax,rculist_mutex,2,96,25642.2,3.23,0
writetax,rculist_mutex,2,128,33443.8,3.15,0
writetax,rculist_mutex,2,160,41681.0,3.11,0
writetax,rculist_mutex,2,191,51832.6,2.90,0
writetax,txn_nolock,2,1,767.0,7.31,0
writetax,txn_nolock,2,2,1538.1,7.18,0
writetax,txn_nolock,2,4,3075.5,6.74,0
writetax,txn_nolock,2,8,4596.2,3.10,0
writetax,txn_nolock,2,16,9318.5,2.92,0
writetax,txn_nolock,2,32,18842.5,2.73,0
writetax,txn_nolock,2,64,37944.5,2.46,0
writetax,txn_nolock,2,96,56878.0,1.78,0
writetax,txn_nolock,2,128,74855.0,1.70,0
writetax,txn_nolock,2,160,93267.8,1.64,0
writetax,txn_nolock,2,191,106000.3,1.43,0
writetax,txn_mutex,2,1,769.6,7.23,0
writetax,txn_mutex,2,2,1539.0,7.03,0
writetax,txn_mutex,2,4,3080.9,6.81,0
writetax,txn_mutex,2,8,4744.8,3.09,0
writetax,txn_mutex,2,16,9623.8,2.93,0
writetax,txn_mutex,2,32,19473.5,2.72,0
writetax,txn_mutex,2,64,39282.2,2.42,0
writetax,txn_mutex,2,96,58996.9,1.70,0
writetax,txn_mutex,2,128,77108.4,1.62,0
writetax,txn_mutex,2,160,95817.7,1.54,0
writetax,txn_mutex,2,191,111964.3,1.26,0
