panel,alloc,engine,run,cores,nreaders,b,keys_per_sl,width,mmoves_s,ns_per_keymove,mqueries_s,hitpct
size,jemalloc,txn-mp1,1,192,0,40,7680,1,51.7853,3707.62,0,0
size,jemalloc,txn-mp1,2,192,0,40,7680,1,51.655,3716.97,0,0
size,jemalloc,txn-mp1,3,192,0,40,7680,1,51.5642,3723.51,0,0
size,jemalloc,existence,1,192,0,80,15360,3,79.8626,2404.13,0,0
size,jemalloc,existence,2,192,0,80,15360,3,79.966,2401.02,0,0
size,jemalloc,existence,3,192,0,80,15360,3,79.5575,2413.35,0,0
size,jemalloc,txn-mp3,1,192,0,80,15360,3,49.7187,3861.72,0,0
size,jemalloc,txn-mp3,2,192,0,80,15360,3,49.758,3858.67,0,0
size,jemalloc,txn-mp3,3,192,0,80,15360,3,49.8484,3851.68,0,0
size,jemalloc,txn-mp1,1,192,0,80,15360,1,53.0539,3618.96,0,0
size,jemalloc,txn-mp1,2,192,0,80,15360,1,53.0287,3620.68,0,0
size,jemalloc,txn-mp1,3,192,0,80,15360,1,52.977,3624.22,0,0
read,jemalloc,existence,1,1,1,3840,3840,3,1.66859,599.307,1.33106,98.8
read,jemalloc,existence,2,1,1,3840,3840,3,1.65711,603.462,1.30981,99.5
read,jemalloc,existence,3,1,1,3840,3840,3,1.69161,591.154,1.31745,99.1
read,jemalloc,txn-mp3,1,1,1,3840,3840,3,1.19682,835.55,4.14385,100.0
read,jemalloc,txn-mp3,2,1,1,3840,3840,3,1.19679,835.565,4.13411,100.0
read,jemalloc,txn-mp3,3,1,1,3840,3840,3,1.19677,835.581,4.13365,100.0
read,jemalloc,existence,1,1,2,3840,3840,3,1.55357,643.679,2.67765,98.2
read,jemalloc,existence,2,1,2,3840,3840,3,1.56508,638.946,2.69767,98.4
read,jemalloc,existence,3,1,2,3840,3840,3,1.53051,653.378,2.66703,98.7
read,jemalloc,txn-mp3,1,1,2,3840,3840,3,1.17377,851.958,8.28716,100.0
read,jemalloc,txn-mp3,2,1,2,3840,3840,3,1.17376,851.962,8.28688,100.0
read,jemalloc,txn-mp3,3,1,2,3840,3840,3,1.17377,851.956,8.2887,100.0
read,jemalloc,existence,1,1,4,3840,3840,3,1.44995,689.678,5.43601,98.6
read,jemalloc,existence,2,1,4,3840,3840,3,1.46145,684.252,5.42386,99.0
read,jemalloc,existence,3,1,4,3840,3840,3,1.46144,684.255,5.40702,98.4
read,jemalloc,txn-mp3,1,1,4,3840,3840,3,1.13928,877.751,16.3717,100.0
read,jemalloc,txn-mp3,2,1,4,3840,3840,3,1.13925,877.772,16.4836,100.0
read,jemalloc,txn-mp3,3,1,4,3840,3840,3,1.13924,877.776,16.3784,100.0
